is_positive,bench_count,cafe_count,pharmacy_count,waste_disposal_count,atm_count,post_office_count,bank_count,restaurant_count,waste_basket_count,fuel_count,shelter_count,toilets_count,fast_food_count,place_of_worship_count,bicycle_parking_count,parking_count,bar_count,dentist_count,drinking_water_count,clinic_count,car_wash_count,payment_terminal_count,recycling_count,library_count,school_count,community_centre_count,vending_machine_count,pub_count,bureau_de_change_count,doctors_count,atb_count,novus_count,eko_market_count,fora_count,apteka_nyzkykh_zin_count,apteka_optovykh_zin_count,apteka_dobrego_dnya_count,apteka_podorozhnyk_count,yes_count,house_count,detached_count,apartments_count,residential_count,shed_count,industrial_count,garage_count,garages_count,retail_count,level_crossing_count,switch_count,crossing_count,buffer_stop_count,tram_level_crossing_count,halt_count,tram_stop_count,tram_crossing_count,station_count,stop_count,signal_count,railway_crossing_count,subway_entrance_count,milestone_count,platform_count,train_station_entrance_count,border_count,yard_count,proposed:tram_stop_count,rail_brake_count,crossover_count,derail_count,owner_change_count,stop_position_count,hump_yard_count,turntable_count,ventilation_shaft_count,switch;level_crossing_count,technical_station_count,traffic_signals_count,tram_stop;tram_level_crossing_count,construction_count,junction_count,level_crossing;crossing_count,pit_count,service_station_count,signal_box_count,stop;crossing_count,switch;tram_crossing_count,switch;tram_level_crossing_count,track_scale_count,tram_crossing;tram_level_crossing_count,tram_level_crossing;tram_crossing_count,tram_stop;tram_crossing_count,wash_count,water_crane_count,farmland_count,forest_count,grass_count,allotments_count,meadow_count,cemetery_count,orchard_count,farmyard_count
1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,11,1,4,0,3,2,0,2,5,0,0,1,0,2,8,0,0,0,1,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,64.0,0.0,68.0,15.0,2.0,45.0,1.0,27.0,18.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,34.0,2.0,0.0,0.0,0.0,0.0
1,10,1,2,3,1,1,0,1,10,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,0.0,39.0,5.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,284.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.0,58.0,0.0,25.0,1.0,5.0,4.0,8.0,3.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.0,2.0,0.0,4.0,2.0,0.0,0.0,5.0,25.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0.0,0.0,44.0,1.0,0.0,1.0,0.0,6.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,6.0,3.0,56.0,0.0,0.0,2.0,0.0,4.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.0,59.0,12.0,41.0,4.0,2.0,0.0,3.0,1.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
1,0,1,3,0,4,1,1,5,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,123.0,36.0,0.0,26.0,9.0,0.0,2.0,0.0,6.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
1,7,1,5,0,0,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,80.0,0.0,0.0,33.0,2.0,0.0,3.0,1.0,2.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
