store_location_id,company_id,position,country,state,latitude,longitude,localization,status,main_destination_id,pickup_destinations_ids,shopNumber,old_slid,is_warehouse,city_id,is_kik,is_pickup,shopFormat,lang_code,name,description,city,pickup_address,pickup_phone,pickup_time,meta_title,meta_description,time_delivery,name_sort,country_title,id,text
2767,1,16370,UA,30,50.449981,30.466557,,A,10,10,2767,0,N,9825,Y,Y,СТАНДАРТ,uk,"пров. Політехнічний, 1/3",,Київ,,380671059428,ПН - НД 8:00 - 21:00,,,3,,Україна,2767,"Аврора #2767 Київ, пров. Політехнічний, 1/3"
2770,1,16460,UA,30,50.471119,30.411652,,A,10,10,2770,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Олександра Бринжали, 60",,Київ,,380671783616,ПН - НД 8:00 - 21:00,,,3,,Україна,2770,"Аврора #2770 Київ, вул. Олександра Бринжали, 60"
2771,1,17840,UA,30,50.46515776,30.51591383,,A,10,10,2771,0,N,9825,Y,Y,МАКСІ,uk,"вул. Костянтинівська, 2-А",,Київ,,380674769687,ПН - НД 8:00 - 22:00,,,3,,Україна,2771,"Аврора #2771 Київ, вул. Костянтинівська, 2-А"
2789,1,16360,UA,30,50.509443,30.506368,,A,10,10,2789,0,N,9825,Y,Y,МАКСІ,uk,"пр-т В. Івасюка, 27",,Київ,,380671106436,ПН - НД 8:00 - 21:00,,,3,,Україна,2789,"Аврора #2789 Київ, пр-т В. Івасюка, 27"
2800,1,16760,UA,30,50.409341,30.659136,,A,10,10,2800,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Вербицького Архітектора, 7-Г",,Київ,,380671055266,ПН - НД 8:00 - 21:00,,,3,,Україна,2800,"Аврора #2800 Київ, вул. Вербицького Архітектора, 7-Г"
2801,1,16650,UA,30,50.432641,30.454269,,A,10,10,2801,0,N,9825,Y,Y,СТАНДАРТ,uk,"бульв. Чоколівський, 23",,Київ,,380672773061,ПН - НД 8:00 - 21:00,,,3,,Україна,2801,"Аврора #2801 Київ, бульв. Чоколівський, 23"
2802,1,16480,UA,30,50.486343,30.593088,,A,10,10,2802,0,N,9825,Y,Y,СТАНДАРТ,uk,"просп. Воскресенський, 40",,Київ,,380672641767,ПН - НД 9:00 - 21:00,,,3,,Україна,2802,"Аврора #2802 Київ, просп. Воскресенський, 40"
2804,1,16470,UA,30,50.511943,30.497053,,A,10,10,2804,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Левка Лук'яненка, 14-А",,Київ,,380672640782,ПН - НД 7:00 - 21:00,,,3,,Україна,2804,"Аврора #2804 Київ, вул. Левка Лук'яненка, 14-А"
2805,1,17430,UA,30,50.365814,30.462656,,A,10,10,2805,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Заболотного Академіка, 20-А",,Київ,,380671045463,ПН - НД 8:00 - 21:00,,,3,,Україна,2805,"Аврора #2805 Київ, вул. Заболотного Академіка, 20-А"
2808,1,16590,UA,30,50.403078,30.654054,,A,10,10,2808,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Братства Тарасівців, 9-Е",,Київ,,380671054262,ПН - НД 9:00 - 21:00,,,3,,Україна,2808,"Аврора #2808 Київ, вул. Братства Тарасівців, 9-Е"
2818,1,16820,UA,30,50.412992,30.526623,,A,10,10,2818,0,N,9825,Y,Y,МАКСІ,uk,"вул. Велика Васильківська, 143/2",,Київ,,380671104182,ПН - НД 8:00 - 21:00,,,3,,Україна,2818,"Аврора #2818 Київ, вул. Велика Васильківська, 143/2"
2819,1,16940,UA,30,50.444811,30.62613,,A,10,10,2819,0,N,9825,Y,Y,МАКСІ,uk,"проспект Леоніда Каденюка, 5/2",,Київ,,380674064463,ПН - НД 8:00 - 21:00,,,3,,Україна,2819,"Аврора #2819 Київ, проспект Леоніда Каденюка, 5/2"
