store_location_id,company_id,position,country,state,latitude,longitude,localization,status,main_destination_id,pickup_destinations_ids,shopNumber,old_slid,is_warehouse,city_id,is_kik,is_pickup,shopFormat,lang_code,name,description,city,pickup_address,pickup_phone,pickup_time,meta_title,meta_description,time_delivery,country_title,id,text
106,1,1950,UA,12,48.514756,34.612061,,A,10,10,106,0,N,9452,N,Y,СТАНДАРТ,uk,"просп. Cвободи, 34-А",,Кам'янське,,380675023221,ПН - НД 7:30 - 20:30,,,3,Україна,106,"Аврора #106 Кам'янське, просп. Cвободи, 34-А"
107,1,5460,UA,74,51.513383,31.320535,,A,10,10,107,0,N,26230,N,Y,СТАНДАРТ,uk,"вул. Рокосовського, 43",,Чернігів,,380679027540,ПН - НД 8:00 - 21:00,,,3,Україна,107,"Аврора #107 Чернігів, вул. Рокосовського, 43"
108,1,7760,UA,53,50.021642,32.976078,,A,10,10,108,0,N,12883,N,Y,СТАНДАРТ,uk,"просп. Володимирський, 129/2",,Лубни,,380675022983,ПН - НД 8:00 - 21:00,,,3,Україна,108,"Аврора #108 Лубни, просп. Володимирський, 129/2"
109,1,6310,UA,59,51.224628,33.189136,,A,10,10,109,0,N,10597,N,Y,МАКСІ,uk,"вул. Свободи, 17-Б",,Конотоп,,380671218035,ПН - НД 7:00 - 21:00,,,3,Україна,109,"Аврора #109 Конотоп, вул. Свободи, 17-Б"
110,1,4840,UA,35,48.9218,33.36048,,A,10,10,110,0,N,18048,N,Y,СТАНДАРТ,uk,"вул. Центральна, 18-Д",,Павлиш,,380675022927,ПН - НД 8:00 - 20:00,,,3,Україна,110,"Аврора #110 Павлиш, вул. Центральна, 18-Д"
111,1,7770,UA,53,49.59366,34.54148,,A,10,10,111,0,N,19657,Y,Y,СТАНДАРТ,uk,"вул. Соборності, 49",,Полтава,,380675096507,ПН - НД 8:00 - 21:00,,,3,Україна,111,"Аврора #111 Полтава, вул. Соборності, 49"
112,1,440,UA,12,47.998137,33.48994,,A,10,10,112,0,N,11401,N,Y,СТАНДАРТ,uk,"м-р 5-й Зарічний, 41",,Кривий Ріг,,380675025810,ПН - НД 8:00 - 21:00,,,3,Україна,112,"Аврора #112 Кривий Ріг, м-р 5-й Зарічний, 41"
113,1,5590,UA,74,51.522361,32.212733,,A,10,10,113,0,N,14343,N,Y,СТАНДАРТ,uk,"вул. Суворова, 1",,Мена,,380675025723,ПН - НД 7:00 - 21:00,,,3,Україна,113,"Аврора #113 Мена, вул. Суворова, 1"
114,1,2920,UA,53,49.71416,35.15732,,A,10,10,114,0,N,26496,N,Y,СТАНДАРТ,uk,"вул. Набережна, 3",,Чутове,,380675025732,ПН - НД 7:00 - 20:00,,,3,Україна,114,"Аврора #114 Чутове, вул. Набережна, 3"
116,1,2200,UA,59,51.19749,33.830029,,A,10,10,116,0,N,2207,N,Y,СТАНДАРТ,uk,"вул. Незалежності, 4-А",,Буринь,,380673499845,ПН - НД 7:00 - 20:00,,,3,Україна,116,"Аврора #116 Буринь, вул. Незалежності, 4-А"
117,1,1240,UA,05,48.531824,28.745719,,A,10,10,117,0,N,2385,N,Y,СТАНДАРТ,uk,"вул. Незалежності, 116",,Вапнярка,,380675026922,ПН - НД 7:00 - 20:00,,,3,Україна,117,"Аврора #117 Вапнярка, вул. Незалежності, 116"
118,1,1470,UA,32,49.54251,30.86667,,A,10,10,118,0,N,1564,N,Y,СТАНДАРТ,uk,"вул. Івана Франка, 2",,Богуслав,,380671913581,ПН - НД 7:00 - 20:00,,,3,Україна,118,"Аврора #118 Богуслав, вул. Івана Франка, 2"
120,1,4860,UA,35,48.49345,32.21164,,A,10,10,120,0,N,11558,N,Y,СТАНДАРТ,uk,"вул. Героїв України, 16-А",,Кропивницький,,380675026755,ПН - НД 8:00 - 21:00,,,3,Україна,120,"Аврора #120 Кропивницький, вул. Героїв України, 16-А"
121,1,6330,UA,59,51.681581,33.924814,,A,10,10,121,0,N,4982,N,Y,СТАНДАРТ,uk,"вул. Ковпака, 1-А",,Глухів,,380674056081,ПН - НД 8:00 - 19:00,,,3,Україна,121,"Аврора #121 Глухів, вул. Ковпака, 1-А"
122,1,1130,UA,59,51.883823,33.523815,,A,10,10,122,0,N,26980,N,Y,СТАНДАРТ,uk,"вул. Бульварна, 1",,Шостка,,380671155969,ПН - НД 8:00 - 19:00,,,3,Україна,122,"Аврора #122 Шостка, вул. Бульварна, 1"
123,1,1120,UA,59,51.864384,33.487343,,A,10,10,123,0,N,26980,N,Y,СТАНДАРТ,uk,"вул. Короленка, 33",,Шостка,,380675098700,ПН - НД 7:00 - 21:00,,,3,Україна,123,"Аврора #123 Шостка, вул. Короленка, 33"
124,1,3070,UA,71,51.81805,31.94322,,A,10,10,124,0,N,22570,N,Y,СТАНДАРТ,uk,"вул. Незалежності, 14",,Сновськ,,380675098703,ПН - НД 7:00 - 21:00,,,3,Україна,124,"Аврора #124 Сновськ, вул. Незалежності, 14"
125,1,4680,UA,12,48.03112,33.476265,,A,10,10,125,0,N,11401,N,Y,СТАНДАРТ,uk,"вул. Романа Шухевича, 4",,Кривий Ріг,,380675098675,ПН - НД 8:00 - 20:00,,,3,Україна,125,"Аврора #125 Кривий Ріг, вул. Романа Шухевича, 4"
126,1,9070,UA,53,49.379238,33.27234,,A,10,10,126,0,N,4972,N,Y,СТАНДАРТ,uk,"вул. Центральна, 226-Ж",,Глобине,,380675587903,ПН - НД 7:00 - 20:00,,,3,Україна,126,"Аврора #126 Глобине, вул. Центральна, 226-Ж"
127,1,5920,UA,71,49.418368,31.256649,,A,10,10,127,0,N,10836,N,Y,СТАНДАРТ,uk,"вул. Ярослава Мудрого, 27",,Корсунь-Шевченківський,,380675588731,ПН - НД 8:00 - 21:00,,,3,Україна,127,"Аврора #127 Корсунь-Шевченківський, вул. Ярослава Мудрого, 27"
128,1,6520,UA,63,49.717197,35.859493,,A,10,10,128,0,N,15853,N,Y,СТАНДАРТ,uk,"вул. Кооперативна, 34",,Нова Водолага,,380675011795,ПН - НД 7:00 - 20:00,,,3,Україна,128,"Аврора #128 Нова Водолага, вул. Кооперативна, 34"
129,1,4060,UA,12,48.413671,35.13206,,A,10,10,129,0,N,6562,N,Y,СТАНДАРТ,uk,"вул. Космонавтів, 4-А",,Дніпро,,380675012587,ПН - НД 8:00 - 21:00,,,3,Україна,129,"Аврора #129 Дніпро, вул. Космонавтів, 4-А"
